relative_time,AccX,AccY,AccZ,CompassSensor,MagneticRotationSensor
0,,,,342.9326703680061,49.0567974648907
13,-2.0612428188323975,2.811746835708618,7.037580966949463,353.0752959529131,
96,,,,353.8927035375894,49.515645056297586
126,-0.9401858448982239,3.5421934127807617,9.449600219726562,342.6528067818594,
144,,,,344.01563613449935,49.242934000092454
185,-2.007871389389038,3.1163175106048584,8.23264217376709,352.0597659247558,
240,,,,353.33701129954824,49.25616855383611
245,-1.7681310176849365,2.8115813732147217,9.80118465423584,349.2941693958516,
288,,,,350.6483995403265,49.685687433968056
304,-1.7104339599609375,2.7642481327056885,9.19927978515625,351.0439528706349,
336,,,,350.9356243628512,49.85743579561883
364,-1.4526960849761963,2.829083204269409,9.988646507263184,348.54135106817466,
423,-1.265956163406372,2.9433069229125977,8.378254890441895,349.34918656961605,
432,,,,349.66587853576743,49.70991531055
481,,,6.440667629241943,,
482,-0.8779287934303284,3.2143678665161133,,350.9628247374471,49.3578172694333
541,-0.6909973621368408,2.691617965698242,11.158506393432617,345.11517193991904,
576,,,,349.8369790433445,48.81612358445051
601,-1.3044054508209229,2.2720296382904053,11.223689079284668,352.3542392855372,
624,,,,354.2559914811455,48.82439011990472
672,,,,353.6342803421342,49.1586263981027
714,-0.5976863503456116,2.743129014968872,9.043983459472656,351.68043600127356,
760,-0.734637439250946,2.8109211921691895,9.001117706298828,352.43043004572866,
768,,,,351.42354917149476,48.66194830445085
817,,,,351.3863989188254,49.37166289889795
819,-1.1163244247436523,2.5109939575195312,9.814125061035156,352.6184164884813,
864,,,,352.6701398035185,48.80918911405364
878,-0.8393155336380005,2.6753976345062256,9.308184623718262,351.69812362990297,
937,-0.8789807558059692,2.7739169597625732,9.114574432373047,352.0595823634219,
960,,,,352.35275628071366,48.65137959507724
1009,,,,352.5845370426507,48.880728033101974
1056,-0.9248571991920471,2.812177896499634,9.508089065551758,352.5902513496651,
1106,,,,352.22108474766776,49.21723729937675
1117,-0.7612731456756592,2.7216198444366455,9.281835556030273,351.4765019205826,
1152,,,,351.844046352652,49.249925993433635
1175,-0.998642086982727,2.745629072189331,9.202452659606934,353.14900735443587,
1200,,,,352.52357760430834,49.0654618404823
1235,-0.856727659702301,2.8025219440460205,9.438528060913086,351.65510368341563,
1295,-0.9311631321907043,2.698117256164551,9.532268524169922,351.9283069813479,49.54811044632013
1344,,,,351.9762139281864,49.45227768785565
1353,-0.9403326511383057,2.7430832386016846,9.425048828125,352.11256755590824,
1413,-0.909256100654602,2.747065544128418,9.339414596557617,352.00971685983893,
1439,,,,351.3622832284134,48.85502630802865
1472,,,9.271778106689453,351.38381625354555,
1473,-0.8999248147010803,2.797631025314331,,,
1488,,,,350.6034790937026,48.624800220560616
1536,,,,350.74472655196485,49.19717568680727
1593,-0.9766199588775635,2.801307439804077,9.270523071289062,351.1428027833979,
1632,,,,351.0333302189282,48.28740762701712
1651,-0.9626199007034302,2.7928099632263184,9.501415252685547,350.8033475042901,
1680,,,,350.6737429572418,48.77930594104689
1710,-1.1052560806274414,2.6254007816314697,9.4710693359375,351.3381641229068,
1769,-1.1676712036132812,2.6970672607421875,9.351886749267578,351.79151195265086,
1776,,,,351.5502790626761,50.07390409390197
1824,,,,351.11462227665606,48.82201020735841
1829,-1.1918113231658936,2.755033016204834,9.596467971801758,351.0736163822002,
1872,,,,352.94900703582,49.136208120396205
1888,-1.2289037704467773,2.8324053287506104,11.348152160644531,351.8671921562019,
1948,-1.0459284782409668,3.467162847518921,11.02180290222168,351.49695406827857,
1969,,,,351.852257093808,49.54584333093551
2007,0.14941737055778503,4.898074626922607,4.907305717468262,347.3382875241842,
2016,,,,344.2221281210344,48.13744307684151
2064,,,,342.5377163867974,47.5450763230798
2126,-0.2017212063074112,4.8254218101501465,2.3165698051452637,351.00907024077,
2160,,,,349.69648205211735,46.81922299027594
2186,-0.41875576972961426,3.217737913131714,6.062023639678955,347.1928309618459,
2208,,,,351.9281507407706,48.89253275251657
2245,-0.5842043161392212,1.1052906513214111,13.426139831542969,350.3071137705212,
2304,,,18.933917999267578,,
2305,-2.6489508152008057,-1.053217887878418,,356.0286364528544,51.623919253823715
2352,,,,0.7606615192782442,46.82043310029469
2363,-1.7700979709625244,-0.7434504628181458,13.650283813476562,0.08801599209954247,
2400,,,,354.2581323185634,46.5479513712701
2423,1.8187980651855469,4.522911548614502,1.6781578063964844,307.41596842924304,
2483,-0.7760359644889832,4.896120548248291,1.1965594291687012,23.037247938307132,
2496,,,,20.671553862665235,47.969353552654155
2543,-1.2378740310668945,4.5577168464660645,7.2963643074035645,14.961006867441426,52.19463123843169
2601,-1.5883514881134033,3.2287862300872803,8.800895690917969,351.2325267096561,
2642,,,,348.4225587105825,52.098576921824105
2690,,,,353.7224324711097,53.807691157278384
2720,-7.790905952453613,-1.7864480018615723,14.404882431030273,8.418553930367466,
2736,,,,35.06476710440353,53.38688784758473
2780,-5.34548282623291,-0.9389452338218689,14.141069412231445,23.068989534927482,
2832,,,,46.50303560551919,53.00417637456732
2839,3.8639047145843506,6.1724138259887695,6.265191555023193,316.94487120825994,
2880,,,,304.18188068743115,53.282885974323115
2898,,,4.287216663360596,,
2899,4.271772384643555,5.234711170196533,,294.59145839455994,
2958,0.817573606967926,5.514496803283691,6.528361797332764,326.1930668727677,
2975,,,,318.6140567432898,53.5764907696686
3018,-4.339076995849609,3.6363728046417236,4.674946308135986,9.233911177632308,
3024,,,,3.3561052293527496,53.92885310877026
3072,,,,13.420213520882214,54.482418898768074
3076,-8.103397369384766,-0.622830867767334,12.912445068359375,7.892244312361981,
3137,,,12.283700942993164,346.1651086191334,
3138,-2.0408284664154053,2.000166893005371,,,
3168,,,,1.2614357280196486,54.088513628551155
3218,,,,0.7422899645973189,53.25984555159476
3255,1.5677707195281982,4.678567409515381,6.906180381774902,336.38078067082006,
3266,,,,330.3642087573811,53.64822769741333
3313,,,6.676515102386475,,
3314,-0.039124950766563416,5.132679462432861,,342.87557852428125,
3361,,,,339.04289983379863,54.914068028523175
3373,-2.873378038406372,3.402747869491577,6.968360424041748,356.66621774984554,
3408,,,,355.6501265789593,56.51931998707337
3433,-3.4016013145446777,0.9559947848320007,10.291667938232422,351.21387090171186,
3493,-3.9852523803710938,0.7294446229934692,10.93869400024414,352.54240758207646,
3504,,,,353.64055344400003,57.19743225989804
3552,-2.473550319671631,1.8359851837158203,9.333755493164062,350.805918216739,54.93463303470924
3600,,,,355.31031698378837,52.752368408117746
3611,-1.3799028396606445,3.1014068126678467,9.997200012207031,350.09473330714786,
