Timestamp, Accel x, Accel y, Accel z, Gyro x, Gyro y, Gyro z,Mag x,Mag y,Mag z,Light Intensity
141,,,,-0.265417,0.268401,-0.076316,,,,
141,-1.023688,6.849497,6.051378,,,,,,,
141,,,,,,,32.024181,-69.825066,-52.628006,
144,-1.109843,6.844734,6.051378,,,,,,,
144,,,,,,,,,,169.380173
144,,,,-0.287787,0.242834,-0.084838,,,,
146,-1.081126,6.859024,6.08444,,,,,,,
146,,,,-0.312288,0.207681,-0.09336,,,,
149,-1.095485,6.86855,6.046655,,,,,,,
149,,,,-0.343181,0.174658,-0.101882,,,,
151,-1.124204,6.920943,6.122223,,,,,,,
151,,,,,,,32.188862,-70.197449,-52.939529,
151,,,,-0.376204,0.1427,-0.1136,,,,
154,,,,-0.406032,0.111807,-0.126383,,,,
154,-1.14335,6.897128,6.103331,,,,,,,
156,-1.172069,6.930469,6.254468,,,,,,,
156,,,,-0.437989,0.077719,-0.138101,,,,
159,-1.234292,6.935232,6.344205,,,,,,,
159,,,,-0.463556,0.053218,-0.147688,,,,
161,-1.301302,6.911417,6.391436,,,,,,,
161,,,,,,,32.713657,-70.232712,-53.17231,
161,,,,-0.491253,0.030847,-0.150884,,,,
164,-1.373098,6.916181,6.424497,,,,,,,
164,,,,-0.51895,0.002085,-0.155145,,,,
166,,,,-0.538124,-0.020286,-0.160471,,,,
166,-1.464039,6.93047,6.556742,,,,,,,
169,-1.516689,6.887603,6.722047,,,,,,,
169,,,,-0.554103,-0.036265,-0.159406,,,,
171,-1.598058,6.863789,6.825954,,,,,,,
171,,,,,,,32.874207,-69.871475,-53.526123,
171,,,,-0.564756,-0.05757,-0.157276,,,,
174,-1.636349,6.759004,6.825953,,,,,,,
174,,,,-0.576474,-0.070353,-0.15408,,,,
176,-1.665068,6.720901,6.887353,,,,,,,
176,,,,-0.582865,-0.084202,-0.146623,,,,
179,,,,-0.591387,-0.10018,-0.139166,,,,
179,-1.751223,6.663746,6.962922,,,,,,,
181,-1.736865,6.658983,7.104612,,,,,,,
181,,,,,,,32.450714,-69.846794,-53.154373,
181,,,,-0.593518,-0.114029,-0.132775,,,,
184,-1.746438,6.635169,7.156566,,,,,,,
184,,,,-0.593518,-0.136399,-0.119991,,,,
186,,,,-0.592453,-0.154509,-0.106143,,,,
186,-1.775157,6.649457,7.213242,,,,,,,
189,-1.803876,6.578013,7.284087,,,,,,,
189,,,,-0.586061,-0.168357,-0.096556,,,,
191,,,,,,,31.979073,-69.445587,-53.105171,
191,,,,-0.57967,-0.177945,-0.082707,,,,
191,-1.856526,6.558962,7.392716,,,,,,,
194,-1.899604,6.58754,7.506069,,,,,,,
194,,,,-0.572213,-0.17901,-0.067793,,,,
196,-1.91875,6.520859,7.534407,,,,,,,
196,,,,-0.564756,-0.181141,-0.048619,,,,
199,-1.899605,6.563725,7.572191,,,,,,,
199,,,,-0.549842,-0.17688,-0.03477,,,,
201,,,,,,,32.091469,-68.707809,-53.781532,
201,-1.918751,6.56849,7.704436,,,,,,,
201,,,,-0.537059,-0.170488,-0.015596,,,,
204,,,,-0.523211,-0.155574,0.00571,,,,
204,-1.957043,6.535149,7.732774,,,,,,,
206,,,,-0.507232,-0.1364,0.02808,,,,
206,-1.947471,6.525623,7.883911,,,,,,,
209,-1.918753,6.47323,7.831957,,,,,,,
209,,,,-0.493383,-0.11829,0.04832,,,,
211,-1.913968,6.511334,7.831957,,,,,,,
211,,,,-0.479535,-0.09592,0.071756,,,,
211,,,,,,,32.753826,-68.930145,-54.332497,
214,-1.842173,6.525623,7.817788,,,,,,,
214,,,,-0.464621,-0.071419,0.091996,,,,
216,,,,-0.449707,-0.044787,0.115432,,,,
216,-1.827815,6.492283,7.77528,,,,,,,
218,-1.732088,6.497046,7.643036,,,,,,,
218,,,,-0.437989,-0.026677,0.137802,,,,
221,-1.722517,6.482758,7.609974,,,,,,,
221,,,,,,,32.918499,-69.302536,-54.64402,
221,,,,-0.428402,-0.012829,0.154847,,,,
223,,,,-0.422011,-0.002176,0.176152,,,,
223,-1.62679,6.444654,7.543852,,,,,,,
226,,,,-0.418815,0.011672,0.195327,,,,
226,-1.607645,6.497047,7.449391,,,,,,,
228,,,,-0.413488,0.011672,0.21024,,,,
228,-1.526278,6.439892,7.383268,,,,,,,
231,-1.483202,6.458944,7.26047,,,,,,,
231,,,,-0.414554,0.011672,0.223024,,,,
231,,,,,,,32.256149,-69.0802,-54.093056,
233,-1.425766,6.454182,7.203793,,,,,,,
233,,,,-0.420945,0.014868,0.240068,,,,
236,-1.363544,6.468471,7.213239,,,,,,,
236,,,,-0.429467,0.012737,0.253916,,,,
238,-1.272604,6.468471,7.099886,,,,,,,
238,,,,-0.44012,0.007411,0.263504,,,,
241,,,,-0.455034,0.00315,0.276287,,,,
241,-1.205596,6.444656,6.98181,,,,,,,
240,,,,,,,31.811626,-68.864304,-54.037186,
243,-1.081152,6.458945,6.892072,,,,,,,
243,,,,-0.475274,-0.007503,0.2912,,,,
246,-1.085939,6.425605,6.802335,,,,,,,
246,,,,-0.50084,-0.027743,0.299722,,,,
248,,,,-0.527472,-0.051179,0.305049,,,,
248,-0.999785,6.458946,6.637029,,,,,,,
251,-0.870554,6.482761,6.575629,,,,,,,
250,,,,,,,31.698414,-68.653671,-54.955879,
251,,,,-0.56156,-0.07781,0.30931,,,,
253,,,,-0.600975,-0.108703,0.31144,,,,
253,-0.74611,6.458946,6.476445,,,,,,,
256,-0.664743,6.535154,6.381985,,,,,,,
256,,,,-0.641455,-0.151313,0.306114,,,,
258,-0.640812,6.558969,6.353646,,,,,,,
